FID,Name,Lat,Lon,Zone,Surf_Spot,Wannasurf_,Wannasurf1,Quality,Frequency,Direction,Type,Experience,Surfline_n,Quality__0,Frequency_,Wannasur_1,Wannasur_2,Surfline_l,Surfline_1,Manually_a,Manually_1,SUM_10km,SUM_1km,sqtd_10km,sqtd_1km
446, ,0.000000000000000,0.000000000000000,Bahia Sul,Itacarezinho,-14.370585000000000,-39.006014000000000,3.000000000000000,4,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,12836.895173999999315,0.000000000000000,8299.816862109999420,0.000000000000000
447, ,0.000000000000000,0.000000000000000,Bahia Sul,Engenhoca,-14.352541000000000,-39.000950000000003,0.000000000000000,4,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,61624.323249799999758,0.000000000000000,39804.051383999998507,0.000000000000000
448, ,0.000000000000000,0.000000000000000,Bahia Sul,Jeribucaçu,-14.344391999999999,-39.001379000000000,3.000000000000000,4,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,61575.181974400002218,0.000000000000000,39745.601965000001655,0.000000000000000
449, ,0.000000000000000,0.000000000000000,Bahia Sul,Prainha,-14.297738000000001,-38.981037000000001,3.500000000000000,3,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,66404.684324300003937,0.000000000000000,43077.218427699997847,0.000000000000000
450, ,0.000000000000000,0.000000000000000,Bahia Sul,Tiririca,-14.286009999999999,-38.982925000000002,3.500000000000000,4,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,66404.684324300003937,0.000000000000000,43077.218427699997847,0.000000000000000
451, ,0.000000000000000,0.000000000000000,Bahia Sul,Praia da Resende,-14.283889000000000,-38.985069000000003,3.000000000000000,4,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,66404.684324300003937,0.000000000000000,43077.218427699997847,0.000000000000000
452, ,0.000000000000000,0.000000000000000,Bahia Sul,Boca da Barra,-14.265879999999999,-38.986702000000001,3.500000000000000,4,Right,Rivermouth,Experienced surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,81513.433408700002474,0.000000000000000,52818.787343999996665,0.000000000000000
453, ,0.000000000000000,0.000000000000000,Bahia Sul,Pontal,-14.263551000000000,-38.993568000000003,3.000000000000000,4,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,103291.808552000002237,3585.556573870000193,66593.366012600003160,2318.493413929999861
454, ,0.000000000000000,0.000000000000000,Bahia Sul,Praia dos Algodoes,-14.077500000000001,-38.954444000000002,3.000000000000000,3,Right and left,Reef-coral,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,586806.872029999969527,0.000000000000000,377602.682993000023998,0.000000000000000
455, ,0.000000000000000,0.000000000000000,Bahia Sul,Saquaira,-14.041088999999999,-38.948078000000002,3.500000000000000,4,Right and left,Beach-break,Experienced surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,641336.859625000040978,0.000000000000000,413003.541349000006448,0.000000000000000
456, ,0.000000000000000,0.000000000000000,Bahia Sul,Taipu de Fora,-13.942398000000001,-38.926620000000000,3.000000000000000,4,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,449803.896591000026092,0.000000000000000,294136.919356999977026,0.000000000000000
457, ,0.000000000000000,0.000000000000000,Bahia Sul,Pedra do Moleque,-13.377011000000000,-38.912630000000000,3.500000000000000,3,Right,Reef-coral,Experienced surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,108329.065996000004816,0.000000000000000,67606.491083100001561,0.000000000000000
